"Your Checkout Progress", "Checkout Progress"
"Newsletter Subscriptions","Uutiskirjetilaukset"
"Login","Kirjaudu sisään"
"First Name","Etunimi"
"Order Total","Kokonaissumma"
"Shipping Methods","Toimitustapa"
"Proceed to Checkout","Kassalle"
"View and edit cart","Ostoskoriin"
"Go to Checkout","Kassalle"
"Read more","Lue lisää"
"Read less","Lue vähemmän"
"CART","OSTOSKORI"
"All Categories","Tuotealueet"
"Contact Us","Ota yhteyttä"
"Search...","Mitä haet?"
"As low as","Alk."
"Availability:","Saatavuus:"
"SKU","Tuotenumero"
"Home","Etusivu"
"The requested qty is not available","Voi ei, meillä ei ole niin montaa kappaletta varastossa. Jos haluat tilata tätä kappalemäärää, lähetä viesti asiakaspalvelu@mydreamday.fi niin pyrimme auttamaan teitä!"
"You added %1 to your <a href="%2">shopping cart</a>.","Lisäsit %1 <a href="%2">ostoskoriisi</a>."
"Items","Tuotteet"
"of",", yhteensä"
"Load More ...","Näytä enemmän tuotteita"
"Loading ...","Ladataan..."
"Search entire store here...","Mitä etsit?"
"Company","Yritys"
"Address Book","Kotiosoitteeni"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Kiitos yhteydenotosta ja kysymyksistä! Vastaamme sinulle mahdollisimman pian."
"Give me a call","Haluan että minulle soitetaan"
"Invalid Form Key. Please refresh the page.","Yhteydenotto epäonnistui! Sivu on vanhentunut. Päivitä sivu ja yritä uudestaan."
"Author:","Kirjoittaja:"
"Add a comment...","Kirjoita kommentti..."
"Full Name","Nimesi"
"Search posts here...","Hae blogista..."
"%1 Comment(s)","%1 vastauksia"
"Load more comments","Lataa enemmän kommentteja"
"Login to submit comment","Kirjaudu sisään pystyäksesi kommentoimaan",
"You cannot post comment. Blog post is not longer exist.","Et voi kommentoida, koska tämä blogikirjoitus ei ole enää olemassa."
"You cannot reply to this comment. Comment is not longer exist.","Et voi vastata tähän kommentiin, koska kommentti ei ole enää olemassa."
"You cannot reply to this comment.","Et voi vastata tähän kommenttiin."
"You submitted your comment for moderation.","Olet lähettänyt kommenttisi hyväksyttäväksi."
"Thank you for your comment.","Kiitos kommentista!"
"Yes, I have read the %1 and agree to the processing of my personal data.","Kyllä, olen lukenut %1 ja hyväksyn henkilökohtaisten tietojeni käsittelyyn."
"privacy policy","Tietosuojakäytäntö"
"January","Tammikuuta"
"February","Helmikuuta"
"March","Maaliskuuta"
"April","Huhtikuuta"
"May","Toukokuuta"
"June","Kesäkuuta"
"July","Heinäkuuta"
"August","Elokuuta"
"September","Syyskuuta"
"October","Lokakuuta"
"November","Marraskuuta"
"December","Joulukuuta"
"Reply","Vastaa"
"Recent Posts","Viimeisimmät artikkelit"
"Show more replies in this thread","Näytä enemmän vastauksia tästä ketjusta"
"Add a reply...","Lisää vastaus.."
"Sign in to add a comment...","Kirjaudu sisään kommentoidakseen..."
"Sign in to add a reply...","Kirjaudu sisään vastatakseen..."
"Cancel","Peruuta"
"Comments:","Vastauksia:"
"Sign Up","Rekisteröidy"
"You must login or register to add items to your wishlist.","Kirjaudu sisään käyttääksesi toivelistaa."
"No exact results found for: ","Tarkkoja tuloksia ei löytynyt sanalle: "
". The displayed items are the closest matches.",". Seuraavat tulokset olivat lähimmät."
"Search terms","Hakuehdotuksia"
"Continue Shopping","Jatka ostoksia"
"Checkout Success","Tilaus on valmis"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Lisäsit %1 <a href=""%2"">ostoskoriisi</a>."
"Share Cart","Jaa ostoskori"
"Sorry, no quotes are available for this order at this time","Odota, toimitusvaihtoehdot ladataan..."
"Item in Cart","tuote ostoskorissa"
"Back","Takaisin"
"Delete Category","Poista kategoria"
"Are you sure you want to do this?","Oletko varma?"
"Add Clipart","Lisää clipart"
"Save Category","Tallenna kategoria"
"Delete Clipart","Poista clipart"
"Save","Tallenna"
"Reset","Tyhjennä"
"Save Clipart","Tallenna clipart"
"Delete Font","Poista fontti"
"Save Font","Tallena fontti"
"Delete Family","Poista perhe"
"Add Font","Lisää Fontti"
"Save Family","Tallenna Perhe"
"Missed productId.","ProductId puuttuu."
"Cliparts","Cliparts"
"Aitoc","Aitoc"
"CustomProductDesigner","Tuotesuunnittelija"
"Custom Product Designer","Tuotesuunnittelija"
"You cannot delete not empty category.","Et voi poistaa kategoria koska se ei ole tyhjä."
"You deleted the category.","Poistit kategorian."
"Something went wrong while saving. Please review the error log.","Tallennus epäonnistui. Katso Loki."
"Please, type in your text here","Mitä haluat kirjoittaa kakun päälle?"
"You deleted the clipart.","Poistit clipart:n."
"A total of %1 element(s) have been changed.","Yhteensä %1 elementtejä muutettiin."
"A total of %1 element(s) have been deleted.","Yhteensä %1 elementtejä poistettiin."
"You saved the category.","Tallensit kategorian."
"You saved the clipart.","Tallensit clipart:n."
"Fonts","Fonts"
"You deleted the family.","Poistit perheen."
"You deleted the font.","Poistit fonttin."
"You saved the family.","Tallensit perheen."
"You saved the font.","Tallensit fonttin."
"Unable to save model %1","Mallin tallennus epäonnistui %1"
"Entity with specified ID ""%1"" not found.","Määritelty ID ""%1"" ei löytynyt."
"Unable to remove entity with ID%","Poistaminen epäonnistui tälle entiteetille ID%"
"Order Items","Tilatut tuotteet"
"Order Id","Tilausnumero"
"Customer name","Asiakkaan nimi"
"Customer email","Asiakkaan sähköposti"
"Customer telephone","Asiakkaan puhelin"
"View","View"
"Edit","Edit"
"Upload image(s) to enable Custom Product Designer options.","Lisää kuvia jotta saat vaihtoehtoja."
"SKU","SKU"
"Product Name","Tuotenimi"
"Price","Hinta"
"Qty Invoiced","Kpl laskutettu"
"Subtotal","Yhteensä"
"Qty","Määrä"
"Ordered","Tilattu"
"Shipped","Lähetetty"
"Canceled","Peruutettu"
"Refunded","Hyvitetty"
"Qty Shipped","Kpl lähetetty"
"Add area","Lisää alue"
"Remove area","Poista alue"
"Edit Selected Image","Muokkaa valittu kuva"
"Return to Product Images","Takaisin tuotekuville"
"Close","Sulje"
"Curved radius","Kaarreen säde"
"Outline size","Ääriviivan koko"
"X-offset","X-offset"
"Y-offset","Y-offset"
"Blur","Sumennus"
"Shadow","Varjostus"
"Outline","Ääriviivat"
"Curved text","Kaareva teksti"
"Shadow Opacity","Varjon läpinäkyvyys"
"Change Shadow Color","Muuta varjon väri"
"Clone","Clone"
"Flip Horizontal","Vaakasuora käännös"
"Flip Vertical","Pystysuora käännös"
"Move Object Down","Siirrä objekti alas"
"Move Object Up","Siirrä objekti ylös"
"Fit To Width","Sopeuta leveyteen"
"Fit To Height","Sopeuta korkeuteen"
"Text","Teksti"
"Images","Kuvat"
"Clip Art","Valmiit kuvat"
"Text Opacity","Tekstin läpinäkyvyys"
"Drag an image here or ","Vedä oma kuva tähän tai "
"browse","valitse"
" for an image to upload"," kuva tästä"
"Processing...","Käsittelee..."
"You can customize the product to make it unique","Suunnittele ja tee tuotteesta ainutlaatuinen"
"Aitoc: Custom Product Designer","My Dream Day: Tuotesuunnittelija"
"Change category","Vaihda kategoria"
"Are you sure to change category for selected cliparts?","Oletko varma että haluat vaihtaa kategoria valtuille clipartseille?"
"Change Family","Vaihda perhe"
"Are you sure to change family for selected fonts?","Oletko varma että haluat vaihtaa perhe valituille fonteille?"
"Aitoc Custom Product Designer","My Dream Day tuotesuunnittelija"
"General Settings","Yleiset asetukset"
"Button Text","Painikkeen teksti"
"Allow Distortion of Objects","Allow Distortion of Objects"
"Is Required","On Pakollinen"
"Max Text Length","Tekstin enimmäispituus"
"Category Information","Kategoriatiedot"
"Name","Name"
"Delete","Delete"
"Delete Posts","Poista viestit"
"Are you sure you wan't to delete selected Box?","Oletko varma että haluat poistaa valittu laatikko?"
"File Name","Tiedostonimi"
"Thumbnail","Thumbnail"
"Clipart Information","Clipart tiedot"
"Image","Image"
"Add New Category","Lisää uusi kategoria"
"Category Name","Kategorian nimi"
"Font","Font"
"Font Information","Fonttitiedot"
"Upload file","Lataa tiedosto"
"Family Information","Perheen tiedot"
"Change family","Vaihda perhe"
"Add New Family","Lisää uusi perhe"
"Family Name","Perheen nimi"
"Pickup location","Noutopiste"
"start by filling in your post code above","Täytä ensin postinumerosi ylhäällä. Toimituskulut 4,90€."
"Choose a pickup point","Valitse noutopiste"
"Ship Here","Toimita tähän"
"Edit","Muuta"
"Create account for next time","Asiakastililn luominen"
"Street Address *","Katuosoite *"
"Delivery","Toimitus"
"Our Company","Yrityksemme"
"About Us","Meistä"
"Terms & Conditions","Yleiset ehdot"
"Privacy Policy","Tietosuojakäytäntö"
"Blog","Blogi"
"Follow Us","Seuraa Meitä"
"To Cart","Ostoskoriin"
"Best Before","Parasta ennen"
"Free shipping over 99€","Ilmainen toimitus yli 99€"
"Shipping 1-3days","Toimitus 1-3 arkipäivää"
"30 days return right","30 päivän palautusoikeus"
"Phone number must be between 6 to 12 characters.","Puhelinnumeron tulee olla 6–12 merkkiä pitkä."
"Sorry we only have left in stock. Please contact us.","Valitettavasti meillä on vain varastossa. Ota yhteyttä.",module,David_Custom
"Sorry we only have ","Valitettavasti meillä on vain ",module,David_Custom
" left in stock. Please contact us."," varastossa. Ota yhteyttä.",module,David_Custom
"FAQ","UKK"
"Create Account","Luo tili"
"Allow remote shopping assistance","Salli ostosten etätuki"
"This allows merchants to ""see what you see"" and take actions on your behalf in order to provide better assistance.","Tämä antaa My Dream Day:lle mahdollisuuden nähdä sen mitä sinä näet ja tehdä muutoksia sinulle paremman palvelun"
"Only %1 left","Vain %1 jäljellä"
"PostNord pick-up point","PostNord noutopiste"
"Choose pick-up point","Valitse noutopiste"
"Distance","Etäisyys"
"Climate compensated","Ilmastokompensoitu"
"Change","Muuta"
"Distance","Etäisyys"
"Your %1 order has shipped","%1 tilauksesi on lähetetty"
"%fieldName is a required field.","%fieldName on pakollinen kenttä."
"Delete Account","Poista tilini"
"Delete you account","Poista tilini"
"Accept","Hyväksy kaikki"
"Cookie Settings","Asetukset"
"Necessary","Välttämättömät"
"Necessary cookies enable core functionality such as security, network management, and accessibility. You may disable these by changing your browser settings, but this may affect how the website functions.","Välttämättömät evästeet mahdollistavat ydintoiminnallisuudet, kuten turvallisuuden, verkkohallinnan ja saavutettavuuden. Voit poistaa ne käytöstä muuttamalla selaimesi asetuksia, mutta tämä saattaa vaikuttaa verkkosivuston toimivuuteen."
"Marketing cookies help us provide our visitors with relevant content, browsing history, and product recommendations.","Markkinointievästeet auttavat meitä tarjoamaan vierailijoillemme relevanttia sisältöä, selailuhistoriaa ja tuotesuosituksia."
"Show Cookies","Näytä evästeet"
"Allow All & Save","Hyväksy kaikki"
"Accept & Save","Hyväksy valitut"
"Analytics cookies help us understand how our visitors interact with the website. It helps us understand the number of visitors, where the visitors are coming from, and the pages they navigate. The cookies collect this data and are reported anonymously.","Analytiikkaevästeet auttavat meitä ymmärtämään, miten vierailijamme vuorovaikuttavat verkkosivuston kanssa. Ne auttavat meitä ymmärtämään vierailijoiden määrää, mistä vierailijat tulevat ja mitä sivuja he selaavat. Evästeet keräävät nämä tiedot ja raportoivat ne anonyymisti."
"Advertisement","Mainonta"
"Advertisement cookies help us provide our visitors with relevant ads and marketing campaigns.","Mainontaevästeet auttavat meitä tarjoamaan vierailijoillemme relevantteja mainoksia ja markkinointikampanjoita."
"Name","Nimi"
"Load Previous Page","Lataa edelliset tuotteet"
"Sign in to continue","Kirjaudu sisään käyttääksesi toivelistaa"
"Create an Account?","Luo uusi tili"
"Hello!","Hei!"
"Log in","Kirjaudu"
"Click <a href="%1" onclick="this.target='_blank'">here to print</a> a copy of your order confirmation.","Klikkaa <a href="%1" onclick="this.target='_blank'">tästä tulostaaksesi</a> kopion tilausvahvistuksestasi."
