"Your Checkout Progress", "Checkout Progress"
"Proceed to Checkout","Till kassan"
"View and edit cart","Visa varukorgen"
"Go to Checkout","Till kassan"
"Read more","Läs mer"
"Read less","Läs mindre"
"CART","VARUKORG"
"All Categories","Produktområden"
"Contact Us","Ta kontakt"
"Search...","Vad letar du efter"
"As low as","från"
"Availability:","Tillgänglighet:"
"SKU","Produktnummer"
"Home","Hem"
"The requested qty is not available","Oj nej, vi har inte så många i lager. Skicka gärna ett mail till kundservice@mydreamday.se om du vill beställa denna mängd. Vi kommer att försöka hjälpa dig."
"You added %1 to your <a href="%2">shopping cart</a>.","Du lade %1 <a href="%2">i varukorgen</a>."
"Items","Produkter"
"of","av"
"Load More ...","Visa flera produkter"
"Loading ...","Laddar..."
"Search entire store here...","Vad letar du efter?"
"Company","Företag"
"Address Book","Hemadress"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Tack för att du kontaktade oss! Vi svarar så snabbt som möjligt."
"Give me a call","Jag vill att ni ringer mig"
"Invalid Form Key. Please refresh the page.","Sidan har föråldrats. Vänligen uppdatera sidan och försök igen."
"Author:","Författare:"
"Add a comment...","skriv en kommentar..."
"Full Name","Ditt namn"
"Search posts here...","Sök i bloggen..."
"%1 Comment(s)","%1 kommentarer"
"Load more comments","Ladda flera kommentarer"
"Login to submit comment","Logga in för att skriva kommentar",
"You cannot post comment. Blog post is not longer exist.","Du kan inte kommentera för denna blogartikel finns inte längre."
"You cannot reply to this comment. Comment is not longer exist.","Du kan inte svara på denna kommentar, för kommentaren finns inte längre."
"You cannot reply to this comment.","Du kan inte svara på denna kommentar."
"You submitted your comment for moderation.","Du har skickat din kommentar för godkännande."
"Thank you for your comment.","Tack för din kommentar!"
"Yes, I have read the %1 and agree to the processing of my personal data.","Ja, jag har läst %1 och jag godkänner behandlingen av mina personuppgifter."
"privacy policy","Integritetspolicy"
"January","Januari"
"February","Februari"
"March","Mars"
"April","April"
"May","Maj"
"June","Juni"
"July","Juli"
"August","Augusti"
"September","September"
"October","Oktober"
"November","November"
"December","December"
"Reply","Svara"
"Recent Posts","Ny artiklar"
"Show more replies in this thread","Visa flera svar i denna tråd"
"Add a reply...","Svara.."
"Sign in to add a comment...","Logga in för att kommentera..."
"Sign in to add a reply...","Logga in för att svara..."
"Cancel","Avbryt"
"Comments:","Kommentarer:"
"Sign Up","Registrera dig"
"You must login or register to add items to your wishlist.","Du måste logga in för att använda inköpslistan."
"No exact results found for: ","Inga resultat hittades för: "
". The displayed items are the closest matches.",". Dessa resultat var närmast."
"Search terms","Sökförslag"
"Continue Shopping","Fortsätt handla"
"Checkout Success","Beställningen är klar"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Du lade %1 <a href=""%2"">i varukorgen</a>."
"Share Cart","Dela din varukorg"
"Sorry, no quotes are available for this order at this time","Vänta, leveransalternativen laddas..."
"Item in Cart","produkt i varukorgen"
"Back","Tillbaka"
"Delete Category","Ta bort kategorin"
"Are you sure you want to do this?","Är du säker?"
"Add Clipart","Lägg till clipart"
"Save Category","Spara kategorin"
"Delete Clipart","Ta bort clipart"
"Save","Spara"
"Reset","Töm"
"Save Clipart","Spara clipart"
"Delete Font","Ta bort font"
"Save Font","Spara font"
"Delete Family","Ta bort familj"
"Add Font","Lägg till font"
"Save Family","Spara familj"
"Missed productId.","ProductId saknas."
"Cliparts","Cliparts"
"Aitoc","Aitoc"
"CustomProductDesigner","Produktplanerare"
"Custom Product Designer","Produktplanerare"
"You cannot delete not empty category.","Du kan inte ta bort kategorin för den är inte tom."
"You deleted the category.","Du tog bort kategorin."
"Something went wrong while saving. Please review the error log.","Sparandet misslyckades. Kolla loggen."
"Please, type in your text here","Vad vill du skriva på tårtan?"
"You deleted the clipart.","Du tog bort cliparten."
"A total of %1 element(s) have been changed.","Totalt %1 element ändrades."
"A total of %1 element(s) have been deleted.","Totalt %1 element togs bort."
"You saved the category.","Du sparade kategorin."
"You saved the clipart.","Du sparade cliparten."
"Fonts","Fonter"
"You deleted the family.","Du raderade familjen."
"You deleted the font.","Du raderade fonten."
"You saved the family.","Du sparade familjen."
"You saved the font.","Du sparade fonten."
"Unable to save model %1","Kunde inte spara %1"
"Entity with specified ID ""%1"" not found.","Specifierade ID ""%1"" kunde inte hittas."
"Unable to remove entity with ID%","Raderingen misslyckades för entiteten med ID%"
"Order Items","Beställda produkter"
"Order Id","Beställningsnummer"
"Customer name","Kundens namn"
"Customer email","Kundens e-postadress"
"Customer telephone","Kundens telefon"
"View","Se"
"Edit","Ändra"
"Upload image(s) to enable Custom Product Designer options.","Ladda upp bilder för att kunna se alternativ."
"SKU","SKU"
"Product Name","Produktnamn"
"Price","Pris"
"Qty Invoiced","Antal fakturerade"
"Subtotal","Totalt"
"Qty","Antal"
"Ordered","Beställda"
"Shipped","Skickade"
"Canceled","Avbokade"
"Refunded","Återbetalda"
"Qty Shipped","Antal skickade"
"Add area","Lägg till område"
"Remove area","Ta bort område"
"Edit Selected Image","Ändra vald bild"
"Return to Product Images","Tillbaka till produktbilderna"
"Close","Stäng"
"Curved radius","Kurvans radie"
"Outline size","Utkantens storlek"
"X-offset","X-offset"
"Y-offset","Y-offset"
"Blur","Dimma"
"Shadow","Skuggning"
"Outline","Utkanter"
"Curved text","Böjd text"
"Shadow Opacity","Skuggans opacitet"
"Change Shadow Color","Ändra skuggans färg"
"Clone","Klona"
"Flip Horizontal","Sväng horisontellt"
"Flip Vertical","Sväng vertikalt"
"Move Object Down","Flytta ner objektet"
"Move Object Up","Flytta upp objektet"
"Fit To Width","Anpassa till bredd"
"Fit To Height","Anpassa till höjd"
"Text","Text"
"Images","Bilder"
"Clip Art","Färdiga bilder"
"Text Opacity","Texten opacitet"
"Drag an image here or ","Dra till bild hit eller "
"browse","välj"
" for an image to upload"," en bild"
"Processing...","Bearbetar..."
"You can customize the product to make it unique","Planera och gör din produkt unik"
"Aitoc: Custom Product Designer","My Dream Day: Produktplanerare"
"Change category","Vaihda kategoria"
"Are you sure to change category for selected cliparts?","Är du säker att du vill byta kategori för dessa cliparts?"
"Change Family","Byt familj"
"Are you sure to change family for selected fonts?","Är du säker att du vill byta familj för dessa fonter?"
"Aitoc Custom Product Designer","My Dream Day produktplanerare"
"General Settings","Allmänna inställningar"
"Button Text","Knappens text"
"Allow Distortion of Objects","Tillåt förvrängning av objekt"
"Is Required","Är obligatorisk"
"Max Text Length","Textens max längd"
"Category Information","Kategori-information"
"Name","Namn"
"Delete","Ta bort"
"Delete Posts","Ta bort meddelanden"
"Are you sure you wan't to delete selected Box?","Är du säker att du vill ta bort den valda låda?"
"File Name","Filnamn"
"Thumbnail","Thumbnail"
"Clipart Information","Clipart info"
"Image","Bild"
"Add New Category","Lägg till nyt kategori"
"Category Name","Kategorins namn"
"Font","Font"
"Font Information","Fontinformation"
"Upload file","Ladda filen"
"Family Information","Familjens information"
"Change family","Byt familj"
"Add New Family","Lägg till ny familj"
"Family Name","Familjens namn"
"Pickup location","Paketombud"
"start by filling in your post code above","Fyll först i ditt postnummer. Leveranskostnad från 49 SEK."
"Choose a pickup point","Välj ombud"
"Ship Here","Leverera hit"
"Edit","Ändra"
"Create account for next time","Skapa konto"
"Street Address *","Gatuadress *"
"Sorry, there is only %1 in stock of %2","Ursäkta, vi har bara %1 st kvar i lagret av produkten %2"
"UKK","FAQ"
"Ilmainen toimitus yli 99€","Fri frakt över 990 SEK"
"Toimitus 1-3 arkipäivää","2-4 dagars leverans"
"30 päivän palautusoikeus","30 dagars ångerrätt"
"Toimitus 1-3 arkipäivän sisällä","Leverans inom 2-4 arbetsdagar"
"Yhteystiedot","Kontakta oss"
"TOIVELISTA","INKÖPSLISTA"
"Our Company","Vårt företag"
"About Us","Om oss"
"Privacy Policy","Integritetspolicy"
"Blog","Blogg"
"Follow Us","Följ oss"
"Create Account","Skapa konto"
"To Cart","Till kundvagnen"
"Best Before","Bäst före"
"Free shipping over 99€","Fri frakt över 990 SEK"
"Shipping 1-3days","Leverans inom 1-3 dagar"
"30 days return right","30 dagars retur"
"Phone number must be between 6 to 12 characters.","Telefonnumret måste vara mellan 6 och 12 siffror långt."
"Only %1 left","Endast %1 i lager"
"Sorry we only have left in stock. Please contact us.","Tyvärr har vi bara kvar i lager. Vänligen kontakta oss.",module,David_Custom
"Sorry we only have ","Tyvärr har vi bara ",module,David_Custom
" left in stock. Please contact us."," i lager. Vänligen kontakta oss.",module,David_Custom
"Tilaa uutiskirjeemme saadaksesi inspiraatiota ja upeita tarjouksia.","Få de senaste nyheterna och de senaste erbjudandena direkt i din inkorg!"
"Valmis noudettavaksi 1-3 arkipäivän kuluttua. Matkahuolto 2-4 arkipäivän kuluttua.","Klar för upphämtning inom 2-4 arbetsdagar."
"Place Order","Betala köp"
"Place Order","Betala köp",module,Trollweb_Bring
"PostNord pick-up point","PostNord uthämtningsställe"
"Choose pick-up point","Välj uthämtningsställe"
"Distance","Avstånd"
"Climate compensated","Klimatkompenserad"
"Change","Ändra"
"Distance","Avstånd"
"Your %store_name order has shipped","Din %store_name beställning är på väg"
"Hinta","Pris"
"Uusin","Nyaste"
"%fieldName is a required field.","%fieldName är obligatoriskt."
"city","stad"
"Delete Account","Ta bort mitt konto"
"Delete you account","Ta bort mitt konto"
"Load Previous Page","Ladda tidigare produkter"
"Hello!","Hej!"
"Log in","Logga in"
"Only %1 left", "Endast %1 kvar"
"PostNord pick-up point", "PostNord utlämningsställe"
"Choose pick-up point", "Välj utlämningsställe"
"Distance", "Avstånd"
"Climate compensated", "Klimatkompenserad"
"Change", "Ändra"
"Distance", "Avstånd"
"Your %1 order has shipped", "Din %1 order har skickats"
"%fieldName is a required field.", "%fieldName är ett obligatoriskt fält."
"Delete Account", "Radera konto"
"Delete you account", "Radera ditt konto"
"Accept", "Acceptera alla"
"Cookie Settings", "Cookie-inställningar"
"Necessary", "Nödvändiga"
"Necessary cookies enable core functionality such as security, network management, and accessibility. You may disable these by changing your browser settings, but this may affect how the website functions.", "Nödvändiga cookies möjliggör grundläggande funktionalitet såsom säkerhet, nätverkshantering och tillgänglighet. Du kan inaktivera dessa genom att ändra dina webbläsarinställningar, men detta kan påverka hur webbplatsen fungerar."
"Marketing cookies help us provide our visitors with relevant content, browsing history, and product recommendations.", "Marknadsföringscookies hjälper oss att tillhandahålla våra besökare med relevant innehåll, surfhistorik och produktrekommendationer."
"Show Cookies", "Visa cookies"
"Allow All & Save", "Tillåt alla och spara"
"Accept & Save", "Acceptera och spara"
"Analytics cookies help us understand how our visitors interact with the website. It helps us understand the number of visitors, where the visitors are coming from, and the pages they navigate. The cookies collect this data and are reported anonymously.", "Analyscookies hjälper oss att förstå hur våra besökare interagerar med webbplatsen. De hjälper oss att förstå antalet besökare, var besökarna kommer ifrån och de sidor de navigerar till. Cookierna samlar in dessa data och rapporterar dem anonymt."
"Advertisement", "Annons"
"Advertisement cookies help us provide our visitors with relevant ads and marketing campaigns.", "Annonscookies hjälper oss att tillhandahålla våra besökare med relevanta annonser och marknadsföringskampanjer."
"Name", "Namn"
"Load Previous Page", "Ladda föregående sida"
"Sign in to continue", "Logga in för att fortsätta"
"Create an Account?", "Skapa ett konto?"
